"","X.3","X.2","X.1","X","votes.funny","votes.useful","votes.cool","user_id","review_id","stars","date","text","type","business_id","foodtype","howmany","avgrev","count12","count_bef","count14","count15","location","user_avg_asian","price","avgstar","isPA","isNC","isAZ","isNV","isWI","isQC","isburg","gdpcap","like","isasian","countreturnasian","goback","returnasian","is_bef","is2014","is2015","price_bef","avgstar_bef","price14","avgstar14","price15","avgstar15","numdate","porpreturn","diffstar","shock","price2","avgstar2","rating2"
"1",3,1,341277,341277,1,1,1,"DBCgOkxxF3AhSKDAqQcR7g","OZQJPVkzTulHMagaSs13Aw",2,"2006-09-10","I had never had Ethiopian food before, so I wasn't sure what to expect. I was pleasantly surprised - the food was delicious. But the dining experience was terrible. They seemed understaffed for a Friday night - one waitress and one cook for a full restaurant. It took us around an hour to get our food, and when we did, our waitress had forgotten half of it. She apologized profusely and made it sound like she normally didn't wait tables, but it was frustrating. Our portions were also -very- small (which was strange, every other table seemed to have enormous heaping plates...maybe we ordered wrong!) and I left hungry. 

I'd like to give it another chance, because the food was very good, but I'm really hesitant.","review","fb9eLHJ4S--TyXsarJJo-g","Ethiopian",111,3.75675675675676,0,0,0,0,"AZ",3.5213447171825,2,4,0,0,1,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1.64414414414414,3.5213447171825,13401,0,-1.5213447171825,0,0,0,0
"2",4,2,11120,11120,0,1,0,"_BV9_YrP3sQlNVzaJo2z_w","UE6X64Lt8mUpSyjKr7pa5g",5,"2015-06-09","So I've never had Thai before. My best friend, Jess dragged me here on a Thursday night, and I'm SO glad she did. 

As I knew nothing about Thai, she ordered a Thai Iced Tea for me, and it was creamy and delicious. Kinda like a Yoo-Hoo and iced tea, minus the chocolate. I ordered a second one, even though it was extra. I didn't care. 


We ordered the special appetizer, Soft Shell Crab. So worth the splurge. It was perfectly cleaned, unlike what I've had from Wholey's before. There were two sauces accompanying the crab, and both suited it's crispness perfectly. 

Jess made a few suggestions on what to get for the entree, (our waitress was in training, but still was awesome) and I decided on the Param, because I love peanut sauce! You could customize how hot you wanted your dish, but I was being a sissy that night, and decided to go with a 3. It was perfect. Jess got Yellow Curry Shrimp. I ate half of hers, too.  Oops. I've also never had curry before. Oh my. So good. 

We sat and chatted for a while, and were kept care of well with refills on our water. They are a BYOB,  so next time, I'll bring some beer! 
  

Happy Eating!","review","sxeuOMBRllOHXJTaUlI9kQ","Thai",10,3.9,0,0,0,1,"PA",3.5213447171825,2,4,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,2,4,16595,0.1,1.4786552828175,1,0,0,0
"3",7,2,102431,102431,1,4,2,"rLtl8ZkDX5vH5nAx9C3q5Q","fsyAT604Sf1iXywG9z1sMw",4,"2010-01-07","My wife and I went here with another couple last night.  All of us are very white and very non-Korean so I was concerned about the service we would receive after reading a few reviews on Yelp.  I was actually pleasantly surprised with the service.  Our waiter was very friendly and fast and answered any questions with a smile.

It was about 7pm on a Wednesday night and the place wasn't too crowded.  There were probably 15 other people in the place who were all of Asian decent so you know the place is the real deal.  The ambiance is a bit cafeteria-like but it didn't matter because I was there for a new culinary experience as this was my first time eating Korean food.

Now about the food....

After they take your drink and food orders, your table is given 6 or 7 small appetizers.  I don't remember what everything was but I do remember the kimchi.  I've never had it before but I know it is a Korean dining staple so I gave it a shot.  I was not a fan of it and probably won't ever have it again, but it was interesting to say the least.

Here is what we ordered:

* Mushroom Soon Tofu soup with beef - the soup is what this place seems to be known for judging by the Yelp reviews so I had to order it.  The bowl came out boiling hot which was good because we opted for the raw egg to be cracked and put into it right before it was served.  The soft tofu was a bit different to me but the soup had good flavor and a nice kick.  I would order it again but I'd like to try other ingredients such as prawns, etc.

* Short ribs - this is secretly why I wanted to come here.  I was told they were awesome and they were.  The marinate\sauce was not overpowering and they were very tender.  I will for sure order these again.

* BBQ chicken - not the leanest or best cut of chicken but it was very good and flavorful.  Again, the sauce\marinade was not too strong.

* Octopus in spicy sauce - this was the ""crazy"" dish for me for the evening.  I enjoy fried calamari and squid/octopus salad, but larger chunks of squid or octopus scare me a little.  I mean they weren't real big chunks but big enough to where you see you are eating a bunch of those little suction cup thingys that octopi have.  Between that and the chewiness of each bite made my stomach turn a bit.  However, the dish had good flavor and a nice kick thanks to the red sauce they bathed it in.  I'm not sure I would order this again.

Anyway, I would definitely come back again.  I enjoyed the service and would like to try other tofu soups and some of the other meat dishes.  I really want to try the bbq ribeye and bbq pork dishes in addition to more of that chicken and those short ribs!","review","PX3e3qtBx_5VC3vqq47jpQ","Korean",355,3.76338028169014,0,9,1,0,"AZ",4,2,3.5,0,0,1,0,0,0,0,0.7,1,1,25,1,1,1,1,0,1.77777777777778,3.44444444444444,2,3.5,1.64414414414414,3.5213447171825,14616,0.0704225352112676,0,0,2,3,5
"4",8,2,341278,341278,0,0,0,"llkm_iXQszkN5DZvmqjNqA","3y-_7na5_ATXjxGVKteAAg",3,"2006-12-18","I had never had ethiopian food before...  it was pretty good... the flavors are very unique, but good... with the main dish you eat a crep type bread with it... not as good as inidan nan but still ok... the inside of blue nile is nothing special... and i went during lunch and no one was there and it still took forever...  also the day we went the credit card machine was not working or somethign like that... the food was good but i am not a huge fan of the overall experience...","review","fb9eLHJ4S--TyXsarJJo-g","Ethiopian",51,4.15686274509804,0,3,0,0,"AZ",4.33333333333333,2,4,0,0,1,0,0,0,0,0.7,0,0,0,0,0,1,0,0,2,3.83333333333333,0,0,1.64414414414414,3.5213447171825,13500,0,-1.33333333333333,0,0,0,0
"5",9,3,28044,28044,1,2,1,"kSV2NJ2jsj5qssaF6ANqew","-qXQ-KeX_YGpC0t4fkGXRQ",4,"2011-02-24","Fellow Yelper Elisa S. & I have been here 2 times in 7 days for lunch - that's how MMMMM this place is! The lunch specials are just hands down hard to beat. With soup, spring roll in duck sauce and an entree, I've tried the red curry with chicken and the pad thai with chicken and both made me go ""ohhhh, yum!"".

Having never had Thai before this, I am not sure how much I can really speak to the spices, authenticity, or things like that but here's the rundown:

1. Place is AUTHENTIC looking, with all the ornate wood carving it's just a cool place!
2. Waiters are very helpful and attentive
3. The tea they have is minty - yummy and refreshing
4. Every meal I had I've loved - it just takes great!
5. BOGO in Entertainment Books ROCK!

I will keep going back long after the coupons end... :)","review","DReLu6HuFOm4p-jYZpgQkw","Thai",96,3.71875,0,5,0,0,"NC",3.6,2,4,0,1,0,0,0,0,0,1.1,1,1,12,1,1,1,0,0,1.6,3.5,0,0,1.64414414414414,3.5213447171825,15029,0.125,0.4,1,2,3.5,4
"6",10,3,175980,175980,0,1,2,"562yN3nT7OWj1HDEzBjyrA","qLb_2MQkLhBuaC5EJwn9IA",4,"2014-06-20","Never had Greek food before but was stopped and offered a sample of the grilled chicken and was it rated good so we figured why not?  The menu had a lot of things and with me being indecisive I would've been sitting there forever trying to figure out what everything was.  The lady in front of me ordered the grilled chicken over rice plate and said it's really good so I went with it.  I was still a little weary of the sauce that came with it since I wasn't sure if I would like it but decided to just take it as is.  I was glad I did! The chicken was moist and had good flavor, the veggies were fresh and seasoned good and the rice with the sauce was light and really good too!  I finished the whole thing and didn't feel bloated or grossed out, definitely a good choice for food court food if you don't want deep fried, heavy, greasy foods.  The employees were really nice too, good restaurant quality food in a food court mall.  Still crave it once in a while.","review","LsUJZOMKl4QpWbVCV2nVqQ","Greek",25,4.04,0,17,5,2,"NV",3.47058823529412,2,4.5,0,0,0,1,0,0,0,1.3,1,0,0,0,0,1,1,1,1.76470588235294,3.58823529411765,1.6,4.1,2,4.25,16241,0,0.529411764705882,1,0,0,0
"7",14,4,341307,341307,0,1,1,"kMiQnYFmAYbjHyyIPGSwoA","InEfiNZGx4bhxi3SH2VUrw",5,"2009-11-21","Like others who have reviewed before me, everyone always compares Cafe Lalibella to Blue Nile. And aren't Phoenicians lucky to be able to compare two great Ethiopian food restaurants? Heck, I'd never had Ethiopian before coming to AZ, so I consider us lucky to have such great places to eat. Getting off track...I prefer the Blue Nile Cafe for three reasons: Kay Seer Salad (beet salad), Shuro Watt (ground chickpeas with spices) and the House Iced Tea. 

The Kay Seer Salad is perfect - I have tried to recreate it, but can never get the perfect blend of beet, spice, and citrus tang. Even if you're not the biggest fan of beets, you can't help but enjoy this light salad. PS: It's vegan. Half of their menu is vegan.

The Shuro Watt is perhaps the most delightfully blended mix of chickpeas, spices and happiness. It looks like mush, but you can never trust the appearance of the food to describe how it will taste. Just stick your nose over it and you'll be convinced. (Is that a hint of cinnamon? Maybe nutmeg? It's heaven, whatever it is.) I always, ALWAYS get the Shuro Watt when I eat here. ALWAYS.

And there is nothing that compliments a meal better than a perfect cup of tea. One of the waitresses told me the ""secret"" for their black tea, and again, I have tried to recreate it but not perfected what I drink at Blue Nile. The hints of clove and cardamom in the tea are not overwhelming, but just right.

I have eaten at Cafe Lalibella, and enjoyed it as well, but like I've stated, it doesn't compare (for me) to the Blue Nile cafe.","review","fb9eLHJ4S--TyXsarJJo-g","Ethiopian",72,4.15277777777778,0,2,0,0,"AZ",3,2,4,0,0,1,0,0,0,0,0.7,1,0,0,0,0,1,0,0,2,3.5,0,0,1.64414414414414,3.5213447171825,14569,0,2,1,0,0,0
"8",18,5,192456,192456,0,3,1,"0auxKhvcY_-4Uul5eiUWwA","K9vMPTgSpYaEO5fhetLSTg",3,"2012-01-19","I go for the delicious tofu soup.  

I've never had Korean bbq here.  I stick to the late night, soul warming, boiling tofu and dumpling soup.  

It is cheap and filling and comes with all the fun little side dishes; banchan.

The broth is  rapidly boiling, chile laden and filled with chunks of silky tofu and beef dumplings.  They crack an egg into the little cauldron and you stir it up and enjoy.  It is also served with a bowl of rice.  The portion is good for 1 1/2 meals. All for around $8.  Every time, I request it spicy, and every time, it is not.  

They are open late so it is a good joint for late night comfort soup.","review","UKKz4HdQC0aH9j5lLi4u8Q","Korean",141,3.71631205673759,0,22,1,4,"NV",3.68181818181818,2,3.5,0,0,0,1,0,0,0,1.3,0,1,23,1,1,1,1,1,1.68181818181818,3.75,2,4,2,4.125,15358,0.163120567375887,-0.681818181818182,0,2,4,4
"9",19,5,341324,341324,0,1,1,"GpDsB_pSKS8nKOlXQXpifA","6z3iOeQNYG1KdT53oIivGw",5,"2010-08-29","We went to this place for my birthday, wanting to try out something new. We'd never had Ethiopian food and we were very adventurous. Be warned, we had a GPS and we had a very hard time finding it, it's tucked away in a little corner!

Once we found it and stepped inside, we were definitely wow'd! The waiter answered our questions about the food, and suggested that if we really want the Ethiopian experience, to try out the Strictly Vegan combo. We ordered Tikil Gomen, Misir Watt, Kik Misir Watt, Gomen Watt, Shuro Watt, and the Dubba. We fell in love with the Shuro and the Misir Watt. The Shuro is chickpeas in a cinnamon/spicy sauce, and the Misir is spiced lentils. Soooo tasty! Even non-vegetarians will enjoy this place, and they do have meat dishes.","review","fb9eLHJ4S--TyXsarJJo-g","Ethiopian",3,4.33333333333333,0,0,0,0,"AZ",3.5213447171825,2,4,0,0,1,0,0,0,0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,1.64414414414414,3.5213447171825,14850,0,1.4786552828175,1,0,0,0
"10",20,5,844949,844949,0,0,0,"n0jQ-6K6GwsuX39M8OvlEw","tTL18e8dVWkdayELGK3eFQ",4,"2011-01-26","This is the first time I have eaten at a Japanese restaurant & had a life changing experience via my mouth. I took my grandma out on a date and we decided to try Hachi. I'm very glad we did. We were seated within minutes and our waiter helped us promptly, I want to say his name was Paul. We ordered the Pink Hibiscus Sake (it was sweet but I don't think I'd order it again), chicken pot stickers, crab & mango salad, a beef dish, chicken fried rice, & hot sake. Everything tasted great, my favorite being the chicken pot stickers and chicken fried rice. I have never had Japanese food that was light, not greasy, flavorful, and filling before Hachi. Our service was perfect. I really dislike being asked how I'm doing or if everything is okay every 5 minutes. Our server took our order, made sure it came promptly, gave me eye contact while making his rounds, asked me once or twice if I'd like to try anything else, made some suggestions, wam bam, thank you ma'am. I will definitely be returning to try more of the menu. Oh, and the decor is stunning. Next time you sit down in the main room, just look up :).","review","iLwNx5TVKVFKyV5RdbIY-A","Japanese",1,4,0,0,0,0,"NV",3.5213447171825,3,4,0,0,0,1,0,0,0,1.3,1,1,1,0,1,0,0,0,0,0,0,0,1.64414414414414,3.5213447171825,15000,1,0.478655282817503,1,0,0,0
