,X,votes.funny,votes.useful,votes.cool,user_id,review_id,stars,date,text,type,business_id
11120,11120,0,1,0,_BV9_YrP3sQlNVzaJo2z_w,UE6X64Lt8mUpSyjKr7pa5g,5,6/9/2015,"So I've never had Thai before. My best friend, Jess dragged me here on a Thursday night, and I'm SO glad she did. 

As I knew nothing about Thai, she ordered a Thai Iced Tea for me, and it was creamy and delicious. Kinda like a Yoo-Hoo and iced tea, minus the chocolate. I ordered a second one, even though it was extra. I didn't care. 


We ordered the special appetizer, Soft Shell Crab. So worth the splurge. It was perfectly cleaned, unlike what I've had from Wholey's before. There were two sauces accompanying the crab, and both suited it's crispness perfectly. 

Jess made a few suggestions on what to get for the entree, (our waitress was in training, but still was awesome) and I decided on the Param, because I love peanut sauce! You could customize how hot you wanted your dish, but I was being a sissy that night, and decided to go with a 3. It was perfect. Jess got Yellow Curry Shrimp. I ate half of hers, too.  Oops. I've also never had curry before. Oh my. So good. 

We sat and chatted for a while, and were kept care of well with refills on our water. They are a BYOB,  so next time, I'll bring some beer! 
  

Happy Eating!",review,sxeuOMBRllOHXJTaUlI9kQ
28044,28044,1,2,1,kSV2NJ2jsj5qssaF6ANqew,#NAME?,4,2/24/2011,"Fellow Yelper Elisa S. & I have been here 2 times in 7 days for lunch - that's how MMMMM this place is! The lunch specials are just hands down hard to beat. With soup, spring roll in duck sauce and an entree, I've tried the red curry with chicken and the pad thai with chicken and both made me go ""ohhhh, yum!"".

Having never had Thai before this, I am not sure how much I can really speak to the spices, authenticity, or things like that but here's the rundown:

1. Place is AUTHENTIC looking, with all the ornate wood carving it's just a cool place!
2. Waiters are very helpful and attentive
3. The tea they have is minty - yummy and refreshing
4. Every meal I had I've loved - it just takes great!
5. BOGO in Entertainment Books ROCK!

I will keep going back long after the coupons end... :)",review,DReLu6HuFOm4p-jYZpgQkw
39995,39995,0,0,0,K1oCmRBaqdpJPPBRWyz18g,ciBtQ1z5wJ49sFzcwxioNw,3,9/28/2010,Wild Thaiger was very cozy and inviting. This was my first time eating Thai food so I was looking to have a great experience unfortunately the service or lack there of almost ruined it for me. They were not very busy but it took about 10 minutes for the hostess to seat us. The server took another 15 minutes to take our drink order. The Thai iced tea was really different but very good. We ordered some chicken egg rolls and when they finally came or they were amazing! Our main dishes took forever to come out and it was just ok. I think I like Thai food.but I will not be returning here.,review,KPoTixdjoJxSqRSEApSAGg
124468,124468,1,0,0,MaQXYMGBtxZV-PbvYzl36w,htDIzN4d-oGqN64fIRM1ng,5,2/18/2014,Wonderful food and service! It was our first time eating Thai food and our server gave us wonderful recommendations. When we left she even gave us a menu to take with us and had marked the meals we had eaten along with a few others she recommended we try next visit. She was so very helpful and the food was just as impressive! It was our first time and will definitely not be our last.,review,RFeDe3fNr14kvUKlVx6_4w
159376,159376,1,2,1,5E193w76Qlhoi1gkyakW2A,XMR__ZUu3j07T4dZAX_5nA,5,4/1/2008,"I had never eaten Thai food before, and I was taken here for dinner after helping a friend move all day on a Saturday.  It may have been that I was starving and was depleted of all my energy, but the food here was great!!

The folks I was with swore up and down this place had some of the best Thai food in the Valley, so I let them do most of the ordering (I wanted to go the safe route via sweet and sour chicken, but they objected wholeheartedly).   

We ordered a variety of items, (appetizers, soups, and main dishes) and shared between the 3 of us.  It did take a little while (even with us and only one other party seated), but I was told this is because all items are cooked fresh when you order.  The lady serving us was very friendly, even when my friend was giving me crap about ordering medium spicy and not hot .  

It was all very good (If I attempted to spell some of the dishes I'd end up offending someone), I kept eating long after my stomach said ""no more"", since my taste buds were saying ""keep going!!""  

I will definitely be returning very soon!",review,XguGFMUSEMz4wx_2G-otyA
212093,212093,0,0,0,0EgzQyYNUqxzLCDUJHzF0A,hRPcOII8ifXvSZmbYHkBSg,5,8/24/2014,"Great experience overall. We came to visit family here in Vegas from Long Beach, California and never had thai food and it was soo delicious. Everything was great from service to food. :)",review,X0cEpOYi0Gf-S_-xb8OZVQ
226348,226348,1,1,1,SyjTlN6mB2bz33U_RE0k9A,sm1pt_pW3vVvmGMkvrld_A,5,2/15/2013,This was actually my first time ever eating Thai food. So I decided to come to this place after reading alot of good reviews. After walking in the decorations of the place popped out very nice this is deffenitly a whole in the wall place. I had the PAD SEE EW plate with a level 5 heat (spice). When i recieved my plate the portion size was really good. They gave me to choose how spicy i wanted it on a scale of 1 to 10 i chose a 5 the kick it had was good enough to enjoy my food without my lips burning. I like spicy food but enough to enjoy my meal. My GF had the Thai BBQ chicken plate which was surprisingly good as well. They give out a bowl of soup as an appetizer which was so good also. I give this place a solid 5stars because for being my first time eating thai food it didnt disappoint in the taste and portion size. The service was great. And for two plates and drinks i payed less than 20 which is great Because anywere you o out here in vegas there is very little places were you can have decent size portions and good food with drinks for under 20.,review,T4AyBSffvi3prLrw0H2enA
333131,333131,0,0,0,BP4kkKjTKBQw3YMtAQ4ttQ,mYMvPI2DN83lvGutj_UMyg,5,3/24/2011,"I've never had Thai before here, so can't compare to much, but the food is great!  Very fresh, great selection, great service and very fast!  I miss my favorite Chinese place that just closed down the street but Thai Pan has filled the void.",review,WIcDFpHEnC3ihNmS7-6-ZA
354648,354648,0,2,1,8a801IDth97vjUzhSNu7pg,oGlq_BzamSmVWi7mX-MoBw,5,4/14/2009,"This place is awesome. I've honestly never had Thai food this good (though admittedly I've only eaten Thai food a few places in Phoenix and in San Francisco).  Their Pad See Ew is amazing and their curry is awesome as well. This is actually the only place where I can even eat the curry (all other curry I've tried has been disgusting), so it's possible they make it slightly differently.

Their prices have gone up slightly in the past few years, but it is still very reasonable money-wise. Overall one of Tempe's best restaurants, I'd say.",review,0udEgNqy5rLR5pZ4kD19Og
463973,463973,0,0,0,tzCQIX0vsfKSuxNehUEWlg,nHWqY4_S3Fnd6MVKCsD6rQ,5,10/29/2015,"I've never had Thai food that blew me away-until now. 
I looked up reviews on Yelp after my coworkers recommended it and they raved! So I got the Kai Khua and it was on POINT. Everyone was super polite, the place is beautiful and our orders were exact. Highly recommend.",review,Rlbb5bQ1W520xjkLaD9OFQ
